algorithm,k,silhouette,davies_bouldin,calinski_harabasz,ari_mean,ari_std,jaccard_mean,jaccard_std,cluster_score,ranking_final
birch,2,0.3862550392503515,3.392696390549647,97.71124753249657,0.1206159194575448,0.15106521191762365,0.8847320145583071,0.04631439126685521,0.7066723092503869,1.0
agglomerative_ward,2,0.32408959623397027,3.1714130019809534,106.71330709694483,0.08553563095295172,0.16105737085620422,0.8740260365347818,0.03414300129144632,0.6244025750607883,2.0
gmm,2,0.2730795270379486,6.0607391976317455,85.38634875399232,0.16608101353497692,0.06991674270054903,0.5811554503930735,0.03336106119049678,0.33548223354634965,3.0
agglomerative_ward,7,0.2129124292638656,2.6223684656686195,88.49797075907463,0.29371635324964857,0.10690661778103505,0.5482294654228164,0.05711987375920861,0.33241315138740096,4.0
agglomerative_ward,3,0.2270603158328897,3.8161758155678562,104.57702481101684,0.1027619401994317,0.11071024505428868,0.655089073782684,0.04824665806010721,0.3058597107418092,5.0
agglomerative_ward,6,0.21299422300287174,3.0392302267412403,91.98209842838855,0.255561749499636,0.11416908784575565,0.5506060584970532,0.04918707595317531,0.30580623336797175,6.0
agglomerative_ward,4,0.21222377996878444,3.687446032248566,100.62695020105036,,,,,0.26805178240237804,7.0
birch,3,0.19682166528970774,4.221692996397777,95.29794248307778,,,,,0.2605472661643996,8.0
birch,4,0.1991020561104891,3.8987454166543625,91.99272466253386,,,,,0.24337150890295617,9.0
agglomerative_ward,5,0.21030190237797808,3.2074826766307822,96.33165939267079,,,,,0.24096248319312324,10.0
spectral,2,0.12676048501239884,6.046028776404232,71.22966683553287,,,,,0.20864902529473808,11.0
birch,5,0.1459178262644634,3.32940467168181,89.92283109942608,,,,,0.18853426318573424,12.0
agglomerative_ward,8,0.19662511064936739,2.511544361470426,86.31396768395564,,,,,0.18495765925142982,13.0
agglomerative_ward,9,0.17549359494788674,2.8032107384773997,84.69599983087201,,,,,0.17661799419593854,14.0
birch,6,0.14874679778242875,3.1839810852772206,86.12944567964067,,,,,0.17572405324193385,15.0
agglomerative_ward,10,0.17741856802153358,2.7233523354015685,83.69337911906787,,,,,0.17269849148074964,16.0
birch,7,0.1517485691706228,3.016387735249623,83.85857342168224,,,,,0.16642442108808694,17.0
birch,8,0.1523979719853218,2.6563126106983606,82.23075374497245,,,,,0.15163241437702119,18.0
birch,9,0.15376954292038894,2.6106715558430884,81.15981548120479,,,,,0.14822454554485037,19.0
spectral,3,0.10870481180287304,5.029383848122479,63.9536686928873,,,,,0.14768313421499302,20.0
birch,10,0.15475969556900315,2.370232444296671,80.38620088025421,,,,,0.13952216672886622,21.0
spectral,4,0.08164307382080603,4.3501099647145764,72.88806303129812,,,,,0.13478040711264708,22.0
spectral,5,0.0839597327716624,3.7760706209325314,56.01332698895323,,,,,0.07377459878593816,23.0
gmm,3,-0.05462989671396857,7.357274571853833,39.06148086478839,,,,,0.05229796222569748,24.0
gmm,4,-0.05427170472858578,6.415675180165242,36.59390460529472,,,,,0.017592297356614627,25.0
hdbscan,2,,,,,,,,0.0,26.0
gmm,5,-0.07888328806560072,5.605526976103396,40.2030643203165,,,,,-0.012010037719267695,27.0
gmm,10,-0.06289006631568113,4.805546272831648,39.84817162437231,,,,,-0.027345577130604835,28.0
gmm,7,-0.06713604728893097,5.3977714523854115,31.949436051529343,,,,,-0.03323121940638921,29.0
gmm,6,-0.09362387063044815,5.63825880077838,34.79530066346171,,,,,-0.03440956507404256,30.0
gmm,8,-0.09585563598960685,4.950372524721256,42.73394558005452,,,,,-0.03521337040384298,31.0
spectral,10,-0.03983339851335069,3.0666616078980904,50.78545935557519,,,,,-0.036440579215627586,32.0
gmm,9,-0.09444517550538103,4.38041418400212,43.755496839287964,,,,,-0.048770505024270674,33.0
spectral,8,-0.08240691642952355,3.173155307790225,50.405114011356005,,,,,-0.06001113088323201,34.0
spectral,9,-0.07891799177536034,2.991030117831022,51.21116983135289,,,,,-0.06122207600730657,35.0
spectral,6,-0.10962759547638107,3.248365608434366,50.034990849474106,,,,,-0.0752070887436378,36.0
spectral,7,-0.10470689689083883,2.9949119287760753,47.819252785157076,,,,,-0.0857808185159897,37.0
