,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
CNTSTUID,3834.0,7608805.06390193,5089.060813019224,7600001.0,7600195.66,7600930.9,7604370.5,7608865.0,7613170.75,7616647.1,7617425.34,7617630.0
ESCS,3834.0,-0.9638187793427231,1.129327830929738,-5.1083,-3.619869,-2.921425,-1.6969750000000001,-0.9423,-0.13085,0.7920649999999996,1.2978830000000003,1.7973
HOMEPOS,3834.0,-1.203458268127282,0.9538230774324766,-7.6382,-3.223012,-2.589495,-1.848575,-1.28605,-0.5996250000000001,0.44356999999999996,1.2771210000000004,3.7612
ICTRES,3834.0,-1.2714304903495044,0.9508525286859953,-5.0283,-3.5576,-2.55762,-1.9104750000000001,-1.3434,-0.729,0.3138049999999998,1.194378000000001,3.9013
HISCED,3808.0,6.207720588235294,2.560776505411222,1.0,1.0,2.0,5.0,7.0,8.0,10.0,10.0,10.0
W_FSTUWT,3834.0,210.5312524621805,81.6652023566494,31.46655,65.21939,105.7694,162.978,198.25895000000003,240.30615,362.13758999999993,511.6977070000003,863.5353
ST004D01T,3834.0,1.489567031820553,0.499956345934871,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
CR590Q04S,1424.0,0.9234550561797753,0.2659614430596565,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q04TT,1424.0,4573.756320224719,4965.0609319459645,18.0,353.15,1412.95,2280.5,3225.5,5281.25,11415.299999999992,24677.369999999988,102321.0
CR590Q27S,1176.0,0.8511904761904762,0.35605203221634624,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q27TT,1392.0,5062.424568965517,4514.502809727388,45.0,177.82,1355.65,2888.25,4001.0,5908.25,11830.100000000004,23059.329999999965,81269.0
CR590Q03S,1419.0,0.8999295278365046,0.30019973716709514,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q03TT,1419.0,4165.6955602537,3223.4944713506097,53.0,213.44,1220.1000000000004,2449.0,3333.0,4746.0,9425.3,17464.759999999984,32526.0
CR590Q59S,1172.0,0.9445392491467577,0.22897508841364958,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q59TT,1207.0,4686.956917978459,3997.75624691539,29.0,160.92000000000002,974.5000000000001,2805.5,3872.0,5291.0,10982.800000000003,18196.44000000003,76733.0
CR590Q33S,1168.0,0.8998287671232876,0.30035677978274555,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q33TT,1365.0,4677.43663003663,3768.0357480598905,62.0,183.92000000000002,1065.2,2736.0,3704.0,5358.0,11143.799999999997,18349.919999999867,41410.0
CR590Q20S,1400.0,0.8985714285714286,0.30200325071640505,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q20TT,1400.0,4255.4,3329.1830288740016,14.0,241.96,892.95,2534.25,3489.5,5084.0,9300.549999999996,15272.309999999994,58988.0
CR590Q24S,1160.0,0.9198275862068965,0.27167706162460215,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q24TT,1384.0,4548.812861271676,3816.3298527318816,3.0,176.03,933.15,2553.75,3613.0,5336.25,10262.3,17784.12000000003,44240.0
CR590Q43S,1157.0,0.9550561797752809,0.20727036601156887,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q43TT,1276.0,4027.706896551724,3074.470054558335,2.0,101.75,675.5,2366.0,3275.0,4848.5,9635.75,15557.5,37798.0
CR590Q52S,1151.0,0.8514335360556038,0.3558152117694365,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q52TT,1214.0,6970.665568369028,5340.77023402804,21.0,97.13,654.6500000000001,4102.5,5776.5,8638.25,16150.55,25608.74999999981,65770.0
CR590Q35S,1145.0,0.9475982532751092,0.2229331942261075,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q35TT,1330.0,3627.6766917293235,2954.433292866769,25.0,169.32,1048.9,2289.25,2999.5,4080.25,7915.649999999999,14811.140000000016,57404.0
CR590Q61S,1140.0,0.9210526315789473,0.26977494740882435,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q61TT,1170.0,5717.860683760684,4641.15294205633,13.0,89.89999999999999,501.20000000000005,3222.75,4680.5,6920.75,13909.149999999996,21645.759999999875,59421.0
CR590Q02S,1438.0,0.9513212795549374,0.21527036223765256,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q02TT,1438.0,4468.904728789986,4264.469113631718,8.0,121.37,1403.6000000000001,2334.5,3255.0,5018.25,11197.599999999997,22951.229999999854,57831.0
CR590Q18S,1427.0,0.8892782060266293,0.31389731813755,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q18TT,1427.0,4339.868955851437,3858.378539498637,32.0,176.38,1181.8,2484.5,3408.0,5057.5,9819.800000000001,17907.48,83377.0
CR590Q10S,1437.0,0.8782185107863605,0.32714711727653806,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q10TT,1437.0,4590.069589422408,3664.1816715948994,2.0,114.19999999999999,921.6,2696.0,3728.0,5367.0,10535.2,20065.36000000002,47305.0
CR590Q37S,1187.0,0.9073294018534119,0.29009249296055606,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q37TT,1356.0,6404.994837758112,41812.31545429433,8.0,97.55,686.25,2941.75,4294.0,6665.5,12377.25,20386.75000000004,1537383.0
CR590Q42S,1184.0,0.7719594594594594,0.41974618387683593,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q42TT,1309.0,5115.7028265851795,4061.9024637382913,8.0,151.24,946.4000000000001,2979.0,4228.0,6038.0,11491.199999999997,22924.880000000103,40735.0
CR590Q45S,1180.0,0.8906779661016949,0.3121751341109393,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q45TT,1285.0,3631.026459143969,3470.404182416008,7.0,64.84,688.0000000000001,2105.0,2854.0,4014.0,8342.999999999996,17255.880000000103,57099.0
CR590Q25S,1179.0,0.9380831212892281,0.24110679261463833,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q25TT,1399.0,4584.596854896355,4306.92610201643,9.0,83.94,696.3000000000004,2554.5,3572.0,5484.0,10502.799999999992,19145.759999999984,80059.0
CR590Q13S,1418.0,0.8392101551480959,0.36746659373537494,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q13TT,1418.0,4835.5959097320165,3926.8551756514744,3.0,118.59,747.4500000000002,2869.25,3929.5,5662.5,11015.499999999987,19112.969999999987,57840.0
CR590Q57S,1166.0,0.7058319039451115,0.4558634151415601,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR590Q57TT,1206.0,6340.976782752902,5767.205463873387,2.0,35.35000000000001,462.75,3506.5,5209.0,7790.0,15405.25,24153.65000000007,79625.0
CR590Q41S,1151.0,0.790616854908775,0.40704519782474624,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR590Q41TT,1286.0,5687.901244167962,4381.127380669073,2.0,85.05,727.25,3275.25,4810.0,6995.25,12685.5,20320.80000000001,53440.0
