component,explained_variance_ratio,cumulative_variance
PC1,0.06204665115588257,0.06204665115588257
PC2,0.04722686694541419,0.10927351810129676
PC3,0.041348551970420505,0.15062207007171727
PC4,0.03574262081666309,0.18636469088838037
PC5,0.03343176806047258,0.21979645894885294
PC6,0.03008345453360931,0.24987991348246225
PC7,0.02679530362716242,0.27667521710962467
PC8,0.02433462629248677,0.30100984340211145
PC9,0.021288670124944134,0.3222985135270556
PC10,0.019176123333347762,0.34147463686040336
PC11,0.01767913433235748,0.3591537711927608
PC12,0.01649006917934408,0.3756438403721049
PC13,0.015192204625106658,0.3908360449972116
PC14,0.014453285646374986,0.4052893306435866
PC15,0.01373824568362646,0.41902757632721305
PC16,0.01364772135302756,0.4326752976802406
PC17,0.013058412873595517,0.4457337105538361
PC18,0.012738811768782932,0.45847252232261904
PC19,0.012549777141086913,0.47102229946370594
PC20,0.01240793945762445,0.4834302389213304
PC21,0.012150920231690898,0.4955811591530213
PC22,0.012079465186752058,0.5076606243397733
PC23,0.011915710064652836,0.5195763344044262
PC24,0.011797655243134596,0.5313739896475608
PC25,0.01170584451716763,0.5430798341647284
PC26,0.011516748673572746,0.5545965828383012
PC27,0.011305382177846234,0.5659019650161474
PC28,0.011170934651654718,0.5770728996678022
PC29,0.010997723633748482,0.5880706233015507
PC30,0.010734475819668333,0.598805099121219
PC31,0.01068435129265265,0.6094894504138717
PC32,0.01045736025847176,0.6199468106723435
PC33,0.010325270779732039,0.6302720814520755
PC34,0.010280378005451216,0.6405524594575267
PC35,0.010189928426388764,0.6507423878839155
PC36,0.010083916721253534,0.660826304605169
PC37,0.009895424682101568,0.6707217292872706
PC38,0.009876591114386749,0.6805983204016574
PC39,0.009778285587826886,0.6903766059894842
PC40,0.009678133233158259,0.7000547392226425
PC41,0.00958824164804533,0.7096429808706878
PC42,0.009557087345427295,0.719200068216115
PC43,0.00939457393067694,0.7285946421467919
PC44,0.009139479771660096,0.737734121918452
PC45,0.009039614877980566,0.7467737367964326
PC46,0.008970952657427742,0.7557446894538603
PC47,0.008892174935263597,0.7646368643891239
PC48,0.00882313679623329,0.7734600011853572
PC49,0.008688604235814874,0.782148605421172
PC50,0.008598997279266654,0.7907476027004386
PC51,0.008506956158612867,0.7992545588590515
PC52,0.008480191618446115,0.8077347504774977
PC53,0.008251456992039838,0.8159862074695375
PC54,0.008167082337834121,0.8241532898073717
PC55,0.008058000265232944,0.8322112900726046
PC56,0.008013294980471732,0.8402245850530764
PC57,0.007954418353047115,0.8481790034061235
PC58,0.007832470033957772,0.8560114734400813
