sensitive_var,group,n,prevalence,weighted_prevalence,group_roc_auc,mean_predicted_proba
Grupo_ESCS,1,959,0.1710114702815433,0.16055202708695107,0.9727757324743059,0.2502502606882169
Grupo_ESCS,2,959,0.0,0.0,,0.04689259645464026
Grupo_ESCS,3,958,0.0,0.0,,0.01461899791231733
Grupo_ESCS,4,958,0.0,0.0,,0.006075156576200418
HISCED,1.0,145,0.2,0.1692336903761591,0.9848394768133175,0.28420689655172415
HISCED,10.0,377,0.0,0.0,,0.007732095490716181
HISCED,2.0,266,0.17293233082706766,0.1615439271252837,0.9636363636363636,0.273796992481203
HISCED,3.0,392,0.14285714285714285,0.13460485081371826,0.9865539965986395,0.2288265306122449
HISCED,5.0,932,0.033261802575107295,0.033260331723539836,0.9841215853352905,0.08423819742489269
HISCED,7.0,516,0.003875968992248062,0.0027834017489069265,0.928988326848249,0.016472868217054265
HISCED,8.0,876,0.0,0.0,,0.009389269406392694
HISCED,9.0,304,0.0,0.0,,0.00886513157894737
ST004D01T,1,1957,0.04854368932038835,0.04684321023593814,0.9933546271694274,0.08782064384261626
ST004D01T,2,1877,0.036760788492274904,0.03447272392700936,0.9890622996024112,0.0708151305274374
