model,variant,target,selection_metric,best_params,n_cv_splits,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci_low,cv_accuracy_ci_high,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_balanced_accuracy_ci_low,cv_balanced_accuracy_ci_high,cv_precision_mean,cv_precision_std,cv_precision_ci_low,cv_precision_ci_high,cv_recall_mean,cv_recall_std,cv_recall_ci_low,cv_recall_ci_high,cv_f1_mean,cv_f1_std,cv_f1_ci_low,cv_f1_ci_high,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_ci_low,cv_roc_auc_ci_high,cv_average_precision_mean,cv_average_precision_std,cv_average_precision_ci_low,cv_average_precision_ci_high,holdout_accuracy,holdout_balanced_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_mcc,holdout_brier,holdout_average_precision,holdout_roc_auc,search_best_cv_average_precision,holdout_opt_accuracy,holdout_opt_balanced_accuracy,holdout_opt_precision,holdout_opt_recall,holdout_opt_f1,holdout_opt_mcc,holdout_opt_brier,holdout_opt_average_precision,holdout_opt_roc_auc
xgboost,screening,A,cv_average_precision_mean,{},15.0,0.972794670877208,0.00048665996946633747,0.9725483869521587,0.9730409548022572,0.5028170381627828,0.0063250821940607355,0.4996161049306534,0.5060179713949122,0.2,0.4140393356054126,-0.00953281365934075,0.4095328136593408,0.0056737588652482265,0.012630145525631143,-0.0007179766567953242,0.012065494387291778,0.010997732426303855,0.024380701516667755,-0.001340604896902806,0.023336069749510517,0.7975452269717175,0.02695305053694665,0.7839051014327976,0.8111853525106374,0.11232204825717661,0.031442446544290195,0.09640997487138303,0.12823412164297018,0.9717592592592592,0.5,0.0,0.0,0.0,0.0,0.026880161836743355,0.10622455373452466,0.8234444192785011,,0.9430555555555555,0.6707232520799883,0.18018018018018017,0.38461538461538464,0.24539877300613497,0.23704302304152,0.022157587110996246,0.1579384776350367,0.8579495694059261
xgboost_tuned,tuned,A,cv_average_precision_mean,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 2, ""clf__n_estimators"": 200, ""clf__subsample"": 0.9}",15.0,0.9726788854575477,0.00023645809618552243,0.9725592211504502,0.9727985497646451,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802636371269477,0.032835864342028905,0.7860191311841564,0.8192536113547975,0.11208693847732282,0.027479129313754038,0.09818058034446409,0.12599329661018155,0.9712962962962963,0.4997617913292044,0.0,0.0,0.0,-0.003668870451834118,0.026382505893707275,0.11237579932490907,0.8298565280890979,0.11229395236996313,,,,,,,,,
hist_gradient_boosting_tuned,tuned,A,cv_average_precision_mean,"{""clf__l2_regularization"": 0.0, ""clf__learning_rate"": 0.03, ""clf__max_iter"": 150, ""clf__max_leaf_nodes"": 15}",15.0,0.9726402828711743,0.00026357625232864573,0.972506894883573,0.9727736708587756,0.5006695491217275,0.002676584135724114,0.49931501065949613,0.5020240875839588,0.03333333333333333,0.12909944487358058,-0.03200000000000001,0.09866666666666668,0.0014184397163120566,0.005493593398875769,-0.0013617021276595745,0.004198581560283687,0.0027210884353741495,0.010538730193761678,-0.0026122448979591837,0.008054421768707482,0.7912297587065823,0.03489192544445227,0.7735720081412216,0.808887509271943,0.11199652992935794,0.029882015743671626,0.09687414348404846,0.1271189163746674,0.9712962962962963,0.4997617913292044,0.0,0.0,0.0,-0.003668870451834118,0.026150144717141166,0.13265986169310867,0.8390959004678262,0.1010554197919565,,,,,,,,,
hist_gradient_boosting,screening,A,cv_average_precision_mean,{},15.0,0.9726788854575477,0.00023645809618552243,0.9725592211504502,0.9727985497646451,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7872239943845307,0.03090730849616398,0.7715827382165169,0.8028652505525445,0.10674824770740439,0.03322773564985913,0.08993269337833704,0.12356380203647174,0.9717592592592592,0.5,0.0,0.0,0.0,0.0,0.02751416197739654,0.14161620874039102,0.812260326931638,,,,,,,,,,
gradient_boosting_tuned,tuned,A,cv_average_precision_mean,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4, ""clf__n_estimators"": 100, ""clf__subsample"": 0.75}",15.0,0.9726017026242607,0.00028021116456631234,0.9724598962095525,0.9727435090389689,0.4999603292635714,0.0001046908135654869,0.4999073484019859,0.5000133101251569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7850894678746988,0.03468792290106319,0.7675349568405471,0.8026439789088505,0.10147964053999486,0.035683347471353474,0.08342137516884622,0.11953790591114351,0.9717592592592592,0.5,0.0,0.0,0.0,0.0,0.026483897475128804,0.10246048915831099,0.809675177094479,0.10028394304564525,,,,,,,,,
gradient_boosting,screening,A,cv_average_precision_mean,{},15.0,0.9721771858714533,0.0005985661709060076,0.9718742695947478,0.9724801021481588,0.5004314892933939,0.002672958533958196,0.4990787856388098,0.5017841929479779,0.02222222222222222,0.08606629658238704,-0.021333333333333336,0.06577777777777777,0.0014184397163120566,0.005493593398875768,-0.0013617021276595741,0.004198581560283687,0.0026666666666666666,0.010327955589886447,-0.00256,0.007893333333333334,0.7979131544242983,0.030099266822407437,0.78268082376383,0.8131454850847667,0.0977990772630992,0.02066828880588803,0.08733947998669742,0.10825867453950097,0.9703703703703703,0.49928537398761313,0.0,0.0,0.0,-0.0063576154149997234,0.027362042978043226,0.08892629483107942,0.8143768695475597,,,,,,,,,,
lightgbm,screening,A,cv_average_precision_mean,{},15.0,0.9719842622974258,0.0008123807717282483,0.971573140903334,0.9723953836915177,0.5037644240785576,0.006575903345733429,0.5004365578303697,0.5070922903267455,0.15666666666666665,0.28589874997644754,0.01198193661158753,0.30135139672174577,0.008481087470449173,0.013426918040516937,0.0016861294221054745,0.015276045518792872,0.015755276469562183,0.024718980876545036,0.0032457461702719206,0.028264806768852443,0.7632477042524629,0.021783329780164333,0.7522238183865629,0.7742715901183629,0.09348750049801513,0.022569530786216995,0.08206574202742856,0.1049092589686017,0.9717592592592592,0.5079585126406798,0.5,0.01639344262295082,0.031746031746031744,0.08669465543853234,0.026536209837394027,0.14378226912587147,0.7983817430626605,,,,,,,,,,
extra_trees,screening,A,cv_average_precision_mean,{},15.0,0.9726788854575477,0.00023645809618552243,0.9725592211504502,0.9727985497646451,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7571046593855492,0.03150361928168751,0.7411616283233132,0.7730476904477851,0.08746739924483006,0.026098495205266425,0.07425973837213012,0.10067506011753,0.9717592592592592,0.5,0.0,0.0,0.0,0.0,0.02636914351851852,0.12343112552924924,0.8023102336006998,,,,,,,,,,
random_forest,screening,A,cv_average_precision_mean,{},15.0,0.9726788854575477,0.00023645809618552243,0.9725592211504502,0.9727985497646451,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7513445643010467,0.02860155683680459,0.7368701794692523,0.7658189491328411,0.08232535247707004,0.021112229366618357,0.07164109027927543,0.09300961467486465,0.9717592592592592,0.5,0.0,0.0,0.0,0.0,0.02637315329218107,0.10788629180858894,0.7782238224291037,,,,,,,,,,
svm_rbf,screening,A,cv_average_precision_mean,{},15.0,0.8703398770078706,0.008071660307684289,0.8662550532973444,0.8744247007183968,0.5804986176631726,0.03501418119815246,0.5627789971500655,0.5982182381762796,0.06361542031495919,0.01602160307035339,0.055507370470478684,0.0717234701594397,0.2739066193853427,0.07150345527442543,0.23772087836605554,0.3100923604046299,0.10317165401901413,0.02603896412108466,0.08999412003160288,0.11634918800642537,0.7345459470497322,0.038308173311888676,0.715159336527684,0.7539325575717803,0.06945715924858335,0.018251091444611355,0.06022083261514513,0.07869348588202157,0.9717592592592592,0.5,0.0,0.0,0.0,0.0,0.027091838134582786,0.07088740800049417,0.642780715250822,,,,,,,,,,
