feature,importance_mean,importance_std,percentual_importancia
ESCS,0.14699415577757785,0.012845787160335414,0.9994732683697655
CR545Q02TT,3.303751466752214e-05,2.7174746674883745e-05,0.00022463554818823097
CR559Q06TT,2.278449287416162e-05,1.7648792290670436e-05,0.00015492106771607862
CR220Q01TT,2.0506043586732137e-05,3.410070642659223e-05,0.00013942896094438017
CR590Q57TT,1.1392246437091912e-06,3.4176739311275736e-06,7.74605338581148e-06
CR220Q01VS,0.0,0.0,0.0
CR545Q07TT,0.0,0.0,0.0
CR545Q07V,0.0,0.0,0.0
CR220Q01F,0.0,0.0,0.0
CR220Q01A,0.0,0.0,0.0
CR220Q01V,0.0,0.0,0.0
CR220Q02F,0.0,0.0,0.0
CR220Q02S,0.0,0.0,0.0
CR220Q02V,0.0,0.0,0.0
CR220Q02VS,0.0,0.0,0.0
CR220Q04S,0.0,0.0,0.0
CR220Q04F,0.0,0.0,0.0
CR220Q04A,0.0,0.0,0.0
CR220Q04VS,0.0,0.0,0.0
CR545Q06VS,0.0,0.0,0.0
CR545Q06A,0.0,0.0,0.0
CR220Q05F,0.0,0.0,0.0
CR545Q03SB,0.0,0.0,0.0
CR545Q02V,0.0,0.0,0.0
CR545Q02VS,0.0,0.0,0.0
CR545Q03S,0.0,0.0,0.0
CR545Q03TT,0.0,0.0,0.0
CR545Q03A,0.0,0.0,0.0
CR545Q03SA,0.0,0.0,0.0
CR545Q03SD,0.0,0.0,0.0
CR545Q06TT,0.0,0.0,0.0
CR545Q03V,0.0,0.0,0.0
CR545Q03VS,0.0,0.0,0.0
CR545Q04TT,0.0,0.0,0.0
CR545Q04F,0.0,0.0,0.0
CR545Q04V,0.0,0.0,0.0
CR545Q06S,0.0,0.0,0.0
CR220Q05S,0.0,0.0,0.0
CR220Q05V,0.0,0.0,0.0
CR220Q05A,0.0,0.0,0.0
CR590Q66TT,0.0,0.0,0.0
CR560Q08A,0.0,0.0,0.0
CR560Q08V,0.0,0.0,0.0
CR559Q01S,0.0,0.0,0.0
CR559Q01A,0.0,0.0,0.0
CR559Q01V,0.0,0.0,0.0
CR559Q04S,0.0,0.0,0.0
CR559Q04V,0.0,0.0,0.0
CR559Q03TT,0.0,0.0,0.0
CR559Q03VS,0.0,0.0,0.0
CR559Q06F,0.0,0.0,0.0
CR559Q06A,0.0,0.0,0.0
CR559Q06V,0.0,0.0,0.0
CR559Q06VS,0.0,0.0,0.0
CR559Q08TT,0.0,0.0,0.0
CR559Q08F,0.0,0.0,0.0
CR560Q08F,0.0,0.0,0.0
CR560Q08TT,0.0,0.0,0.0
CR560Q08S,0.0,0.0,0.0
CR560Q03F,0.0,0.0,0.0
CR220Q05VS,0.0,0.0,0.0
CR220Q06TT,0.0,0.0,0.0
CR220Q06F,0.0,0.0,0.0
CR220Q06A,0.0,0.0,0.0
CR220Q06V,0.0,0.0,0.0
CR560Q10F,0.0,0.0,0.0
CR560Q03A,0.0,0.0,0.0
CR560Q06VS,0.0,0.0,0.0
CR560Q03V,0.0,0.0,0.0
CR560Q06S,0.0,0.0,0.0
CR560Q06TT,0.0,0.0,0.0
CR560Q06F,0.0,0.0,0.0
CR560Q06A,0.0,0.0,0.0
CR560Q06V,0.0,0.0,0.0
CR545Q02S,0.0,0.0,0.0
CR590Q66S,0.0,0.0,0.0
ICTRES,0.0,0.0,0.0
CR590Q25S,0.0,0.0,0.0
CR590Q41TT,0.0,0.0,0.0
CR590Q60S,0.0,0.0,0.0
CR590Q05S,0.0,0.0,0.0
CR590Q05TT,0.0,0.0,0.0
CR590Q01S,0.0,0.0,0.0
CR590Q01TT,0.0,0.0,0.0
CR590Q22TT,0.0,0.0,0.0
CR590Q47TT,0.0,0.0,0.0
CR590Q34S,0.0,0.0,0.0
CR590Q34TT,0.0,0.0,0.0
CR590Q23S,0.0,0.0,0.0
CR590Q38S,0.0,0.0,0.0
CR590Q38TT,0.0,0.0,0.0
CR590Q14TT,0.0,0.0,0.0
CR590Q65TT,0.0,0.0,0.0
CR590Q41S,0.0,0.0,0.0
CR590Q45TT,0.0,0.0,0.0
CR590Q62S,0.0,0.0,0.0
CR590Q45S,0.0,0.0,0.0
HISCED,0.0,0.0,0.0
CR590Q59TT,0.0,0.0,0.0
CR590Q20S,0.0,0.0,0.0
CR590Q20TT,0.0,0.0,0.0
CR590Q43S,0.0,0.0,0.0
CR590Q52S,0.0,0.0,0.0
CR590Q52TT,0.0,0.0,0.0
CR590Q35TT,0.0,0.0,0.0
CR590Q61TT,0.0,0.0,0.0
CR590Q02S,0.0,0.0,0.0
CR590Q02TT,0.0,0.0,0.0
CR590Q18S,0.0,0.0,0.0
CR590Q10S,0.0,0.0,0.0
CR590Q37S,0.0,0.0,0.0
CR590Q37TT,0.0,0.0,0.0
CR590Q26S,0.0,0.0,0.0
CR590Q26TT,0.0,0.0,0.0
CR590Q48TT,0.0,0.0,0.0
CR590Q44S,0.0,0.0,0.0
CR590Q51TT,0.0,0.0,0.0
CR590Q39S,0.0,0.0,0.0
CR590Q53S,0.0,0.0,0.0
CR590Q64S,0.0,0.0,0.0
CR590Q36S,0.0,0.0,0.0
CR590Q36TT,0.0,0.0,0.0
CR590Q21TT,0.0,0.0,0.0
CR590Q49S,0.0,0.0,0.0
CR590Q40S,0.0,0.0,0.0
CR590Q40TT,0.0,0.0,0.0
CR590Q11S,0.0,0.0,0.0
CR590Q11TT,0.0,0.0,0.0
CR590Q29S,0.0,0.0,0.0
CR590Q29TT,0.0,0.0,0.0
CR590Q63TT,0.0,0.0,0.0
CR590Q32S,0.0,0.0,0.0
CR590Q31TT,0.0,0.0,0.0
CR590Q07TT,0.0,0.0,0.0
CR590Q28TT,0.0,0.0,0.0
CR590Q44TT,0.0,0.0,0.0
CR590Q19S,0.0,0.0,0.0
CR590Q15S,0.0,0.0,0.0
CR590Q30S,0.0,0.0,0.0
CR590Q30TT,0.0,0.0,0.0
CR590Q28S,0.0,0.0,0.0
CR590Q09S,0.0,0.0,0.0
CR590Q50TT,0.0,0.0,0.0
CR590Q56S,0.0,0.0,0.0
CR590Q16TT,0.0,0.0,0.0
CR590Q58S,0.0,0.0,0.0
CR590Q46S,0.0,0.0,0.0
CR590Q46TT,0.0,0.0,0.0
CR590Q06TT,0.0,0.0,0.0
CR559Q08A,0.0,0.0,0.0
