feature,mean_resilientes,mean_nao_resilientes,diff_means,mann_whitney_U,p_value,p_adjusted_fdr,effect_size_r,significativo_fdr05
CR102Q04F,11319.25,39804.96930946292,-28485.71930946292,,,,,False
CR566Q03F,91391.5,70688.4439834025,20703.056016597504,,,,,False
CR102Q05TT,42698.5,63390.9908045977,-20692.4908045977,,,,,False
CR566Q09F,10551.333333333334,29771.03290676417,-19219.699573430837,,,,,False
CR566Q12F,28928.0,13005.287037037036,15922.712962962964,,,,,False
CR102Q05F,7818.5,20918.563685636855,-13100.063685636855,,,,,False
CR102Q07TT,5458.5,18036.17906976744,-12577.67906976744,,,,,False
CR544Q14F,25906.25,13499.699140401146,12406.550859598854,,,,,False
CR544Q10F,63329.0,54010.362397820165,9318.637602179835,,,,,False
CR566Q06F,33137.5,26166.97508896797,6970.524911032029,,,,,False
CR544Q12F,21410.5,26852.016620498616,-5441.516620498616,,,,,False
CR102Q07F,3525.5,8896.009852216748,-5370.509852216748,,,,,False
CR544Q13F,21591.75,21824.00303030303,-232.25303030302894,,,,,False
CR102Q05A,7.75,17.652873563218392,-9.902873563218392,,,,,False
CR102Q07A,0.75,2.3790697674418606,-1.6290697674418606,,,,,False
CR566Q05S,1.0,0.38,0.62,,,,,False
CR544Q14SE,1.0,0.44072948328267475,0.5592705167173253,,,,,False
Creative_Resilience,0.9523809523809523,0.0010911074740861974,0.9512898449068661,600888.0,0.0,0.0,0.33722178335011505,True
CR563Q02S,1.0,0.5222602739726028,0.4777397260273972,,,,,False
CR544Q14S,1.0,0.5343283582089552,0.4656716417910448,,,,,False
CR544Q10S,1.0,0.5926966292134831,0.4073033707865169,,,,,False
CRT_SCORE,0.5710429558267945,0.4097067265102976,0.16133622931649694,552466.0,4.9554008723947745e-68,2.041625159426647e-65,0.2814809141280819,True
ESCS,-2.4617625,-0.8951732405891981,-1.5665892594108017,64798.5,2.7474371005967333e-67,8.489580640843907e-65,0.279896359452849,True
Grupo_ESCS,1.0,2.5681942171303875,-1.5681942171303875,66444.0,1.0428388090531854e-70,6.444743839948686e-68,0.2780021460724671,True
HISCED,2.761904761904762,6.366758241758242,-3.60485347985348,78545.5,9.989520274228125e-62,2.4694094117891926e-59,0.26428187367724404,True
CR566Q14S,0.6666666666666666,0.31103074141048825,0.3556359252561784,,,,,False
CR566Q06S,0.6666666666666666,0.33941605839416056,0.32725060827250607,,,,,False
CR561Q06TT,87112.54838709677,41813.825539568345,45298.72284752843,13090.0,1.1410646025328503e-06,4.2738056022139486e-05,0.20084751443126425,True
CR561Q03F,72778.70967741935,35625.943223443224,37152.766453976124,12799.5,1.5694408816657833e-06,5.388413693719189e-05,0.19994059477366904,True
CR561Q03TT,84657.34375,46519.12190812721,38138.22184187279,13686.5,1.1194041490719668e-06,4.2738056022139486e-05,0.19914586973641712,True
CR544Q12S,0.75,0.5028571428571429,0.2471428571428571,,,,,False
CR102Q07S,1.0,0.7688311688311689,0.23116883116883113,,,,,False
CR559Q06TT,135511.26506024096,78563.77789642285,56947.48716381811,115775.5,4.157302932338833e-14,6.423033030463497e-12,0.170848768881061,True
CR559Q06F,113839.40243902439,61845.81887201736,51993.58356700703,112249.0,1.0335302682796746e-13,1.4193815684374197e-11,0.16945288442048098,True
CR558Q09F,55193.944444444445,39304.72467532467,15889.219769119773,5048.5,0.001048103286037869,0.011464209394184124,0.16330476905548774,True
CR561Q06S,14.172413793103448,9.253676470588236,4.918737322515213,5201.5,0.0017867076862225061,0.016987466924392444,0.16267785843078933,True
CR564Q03F,89424.3,31526.49300155521,57897.806998444794,5657.0,3.718203684309369e-05,0.0007789321616620983,0.16143040315493012,True
HOMEPOS,-1.8603517857142857,-1.1733551282051282,-0.6869966575091575,169218.5,4.6895264258616e-23,9.660424437274896e-21,0.15969352677008708,True
CR560Q03TT,254785.62162162163,151047.6090759978,103738.01254562382,99661.0,5.104764919843011e-12,5.735899491750874e-10,0.15823484705088056,True
CR545Q02TT,302777.5657894737,229897.4891606448,72880.07662882892,99919.0,8.756026675055394e-12,9.018707475307055e-10,0.1576329132722755,True
CR559Q08TT,366878.4756097561,221485.8035237587,145392.6720859974,111398.0,4.641582070038331e-12,5.735899491750874e-10,0.15642128728204285,True
CR558Q02TT,192173.81818181818,122091.47083333334,70082.34734848484,7577.0,0.0005569338556405707,0.007648558284130504,0.15409331847877436,True
CR547Q06TT,104263.0,68286.15450643777,35976.84549356223,4980.0,0.0007833931241258462,0.009746312468780867,0.15334289193001027,True
CR560Q10F,102228.21875,59421.53271028037,42806.68603971963,69336.0,1.3975363848667224e-09,1.1515699811301793e-07,0.15322812909871464,True
ICTRES,-1.8828624999999997,-1.243410692853246,-0.6394518071467536,175474.0,3.643209633380451e-21,6.432867295511768e-19,0.15249252294086837,True
CR558Q09TT,68276.15789473684,53469.93630573248,14806.221589004359,6480.0,0.0009216115690180361,0.010785021332548808,0.1497225617324617,True
CR559Q03TT,114777.03614457832,65506.65064102564,49270.38550355268,110041.0,1.2871339451203762e-10,1.2237673508990653e-08,0.14539698678854193,True
CR220Q01TT,339808.4,200500.0899122807,139308.31008771932,125199.0,3.2732529851241095e-10,2.8898147782952852e-08,0.14329348618260807,True
CR561Q06F,44047.96551724138,27474.19142857143,16573.774088669947,6653.0,0.005394179042916061,0.03809831598311001,0.14297272590694482,True
CR453Q04F,42565.71428571428,24564.769097222223,18000.94518849206,8677.5,0.0007087323735832497,0.008938706262743843,0.1386133793251329,True
CR553Q01A,0.875,1.8475177304964538,-0.9725177304964538,2317.5,0.0003256770380599135,0.005095402772684216,0.13785566002621744,True
CR453Q04TT,161490.0909090909,94991.69153515065,66498.39937394026,11210.0,0.0002214224790589644,0.003698353839417297,0.13775372533156305,True
CR102Q05V,1.0,1.1586206896551725,-0.1586206896551725,,,,,False
CR564Q01F,112858.61538461539,56372.83156297421,56485.783821641184,6734.0,0.0004084613839997435,0.006156808178337597,0.1363762605208429,True
CR561Q08TT,47731.8,33989.90363636363,13741.89636363637,11172.5,0.0010785385722002646,0.011591945002082842,0.13576915272583764,True
CR220Q01F,53150.25806451613,31195.952779438136,21954.305285077993,105092.5,1.176950844733028e-08,8.081729133833459e-07,0.13571204141771503,True
CR559Q01TT,207034.156626506,137140.77896422852,69893.37766227749,107871.0,2.1491467017293877e-09,1.660215827085952e-07,0.1353529455718998,True
CR552Q01A,2.230769230769231,3.3952254641909816,-1.1644562334217508,3343.5,0.005126592965793077,0.03734197610414646,0.13505731877529867,True
CR220Q02TT,115115.54,83220.86246575342,31894.67753424657,123143.0,3.797710035203609e-09,2.761158590300977e-07,0.13431083626629756,True
CR558Q10S,1.411764705882353,0.754424778761062,0.6573399271212911,5424.0,0.0018156814817073548,0.01713116268236863,0.13315824842188365,True
CR563Q09F,41672.833333333336,20006.665557404325,21666.16777592901,3203.0,0.0010597944785120789,0.011490403293341486,0.13294122072337744,True
CR560Q03F,205252.11111111112,116317.49165739711,88934.61945371401,90238.0,1.3628704134512628e-08,8.865830689609267e-07,0.1313053110109637,True
CR561Q04TT,73710.8125,52766.42067736186,20944.391822638143,11957.0,0.001568140004574604,0.015261583036647326,0.12986006325903812,True
