target,model,cv_ap_mean,cv_ap_std,cv_auc_mean,cv_f1_mean,holdout_ap,holdout_auc,holdout_brier
A,logistic_regression,0.2004358111312839,0.034075366238139046,0.8821396969861134,0.27022498270879625,0.16385172831803915,0.8788949688402492,0.15610664957143577
A,svm_rbf,0.18271699068570887,0.034262886335389944,0.871124519204724,0.24717078091120945,0.28614212043313914,0.881858945128439,0.03985140235246829
A,knn_distance,0.16280681739193742,0.02921650240439149,0.8442924183325207,0.0,0.15837945638866616,0.8540431676546587,0.04325177359474091
A,gaussian_nb,0.2006183186022516,0.04577960671732533,0.8750167036856457,0.2223670835288071,0.1821631038648549,0.8800729594163246,0.05454486349567037
A,random_forest,0.1802532595868021,0.021271011315295664,0.8605778346605992,0.011764705882352941,0.18520281771682223,0.8636000911992704,0.04405234418726318
A,extra_trees,0.1585173585682358,0.019487779973023794,0.8273740677537604,0.10987712672922523,0.17263162157834427,0.8550691594467243,0.04834213610922042
A,gradient_boosting,0.1784290511305926,0.042574519086600565,0.8726253679325351,0.007142857142857143,0.22552091574276878,0.9037847697218421,0.03925658329182369
A,hist_gradient_boosting,0.19940429573287366,0.03697037488564789,0.8743030725752569,0.11899766899766899,0.20222792014249463,0.8949688402492779,0.04512793118687284
B,logistic_regression,0.23191816612088365,0.03032336710565025,0.8657013292755854,0.3261225927539907,0.21701271857277038,0.8605536922289807,0.17263117715921616
B,svm_rbf,0.22050240527302503,0.022972102233645954,0.8543135524076655,0.3016590170697191,0.18195032846275677,0.8333522824171451,0.05401571593266881
B,knn_distance,0.22922492574685696,0.026987070127577523,0.8450850967659166,0.05137978806063912,0.2285882471614719,0.8497811380819738,0.05410947112457374
B,gaussian_nb,0.26639831291333244,0.03277669617811904,0.8646332384679978,0.3171496838668934,0.1856418930021419,0.8415382866238417,0.07746098577249114
B,random_forest,0.22160423037296023,0.036804555123776096,0.842342269636038,0.08993009583366382,0.20909365699153204,0.8495253254505144,0.05786580834419818
B,extra_trees,0.1978722607020274,0.030122117875146147,0.8095503972467324,0.1437083821584968,0.1939944117735359,0.8192115286225911,0.0624165725047081
B,gradient_boosting,0.25057326893904297,0.035779997038875244,0.861172480628808,0.04383595979588062,0.23322286227289318,0.8656415212324484,0.05317333560450474
B,hist_gradient_boosting,0.2309969515708782,0.037731891243106046,0.8478807368301047,0.1358516837457123,0.24939830979900524,0.8743391507020637,0.05736739267434684
C,logistic_regression,0.09863763142521384,0.024601554698648807,0.8867876649592203,0.14617966344811203,0.07204437702214392,0.8328900709219859,0.15839239746552633
C,svm_rbf,0.09994647636647581,0.020920425052379493,0.8784614424966746,0.13220368179962688,0.07284847384757748,0.8659574468085106,0.018427762602196567
C,knn_distance,0.11743095518703064,0.0787643092038091,0.747963758387519,0.0,0.05807504772453459,0.7865248226950355,0.02006463692801845
C,gaussian_nb,0.09721324032223336,0.024021465582553466,0.8749158693529508,0.0,0.07804356186304363,0.8722517730496454,0.022328362861227042
C,random_forest,0.08939717018251266,0.04398304122830257,0.8010755987746856,0.0,0.05666216879953577,0.7838652482269504,0.02136069100391134
C,extra_trees,0.11604697470939696,0.07599257720925122,0.742630052508211,0.0667665461473511,0.05342901713300062,0.682491134751773,0.023607054903665076
C,gradient_boosting,0.09132381934521633,0.027021237743181756,0.8689477360210247,0.0,0.09484131641398999,0.8374556737588652,0.018971099940172795
C,hist_gradient_boosting,0.10439329084635096,0.046675822183256464,0.8649288157024777,0.028717948717948714,0.06868233643862034,0.8268173758865248,0.02316532238525235
D,logistic_regression,0.6731707544822866,0.03882180732247899,0.8155076669105519,0.6285807254210364,0.7127995983458287,0.8394415778560061,0.1675818445406535
D,svm_rbf,0.6184182856538355,0.02758833952338834,0.8029685881199493,0.6268513030130081,0.6627637490961225,0.8129109000016075,0.15748312487139976
D,knn_distance,0.6459892895591538,0.03315325952268055,0.7958812821795348,0.5651655553449377,0.6363055717172357,0.8145022584430407,0.15645336683137495
D,gaussian_nb,0.6533391908163132,0.038965219280181894,0.7992576782702749,0.6084785865507947,0.6882519295337626,0.8244763787754578,0.15712982102863032
D,random_forest,0.6159155414870616,0.03197764939754283,0.7805984769190784,0.5608014076975228,0.6030904167641317,0.7922071659352847,0.16840681225554108
D,extra_trees,0.5953426173936166,0.032333588890439136,0.767558859972005,0.5481173483797038,0.5718976817785294,0.7761368568259633,0.182253570911198
D,gradient_boosting,0.6678472654671854,0.04087346375663144,0.8138519226974124,0.5632778394938576,0.7102093139272607,0.8306047162077446,0.1452047301021521
D,hist_gradient_boosting,0.6344313077020901,0.03568706651828229,0.790531419611062,0.5607837455011153,0.6895881360932002,0.8185168217839289,0.152198277435698
