feature,mean_abs_shap
ST251D08JA,0.45523015
PV6READ,0.34511817
OCOD1,0.2824221
PV2SCIE,0.26831165
PV1READ,0.26072228
OCOD2,0.20795782
PV2MPFS,0.2065719
PV10SCIE,0.20009036
PV4MPFS,0.18808223
PV9SCIE,0.14925145
PV3SCIE,0.14911602
PV6MPFS,0.1409309
PV6MPRE,0.13945393
PV2READ,0.12663727
PV10READ,0.12401698
ST250D07JA,0.11719441
PV8MCCR,0.11497003
PV1MPFS,0.10959222
PV5MCSS,0.109059736
PV8SCIE,0.107901305
PV2MCSS,0.10345271
PV1MPRE,0.100529626
PV4MCSS,0.09746977
PV9MPFS,0.09654182
PV9MCSS,0.09306953
PV9MPRE,0.091532804
PV4READ,0.09033987
PV7MPFS,0.08922395
ST330D10WA,0.08821826
PV5MCCR,0.08463431
PV5MCUD,0.083279975
PV10MCUD,0.08312134
PV5MPRE,0.08164044
PV10MPIN,0.08064724
PV2MPRE,0.08012185
PV9MCUD,0.078350395
PV3MPFS,0.07808249
PV10MPFS,0.07500042
PV2MCCR,0.07140508
PV3MPRE,0.07043379
PV10MCSS,0.068385795
CNTSCHID,0.06628419
PV6MCSS,0.06628249
PV1MCCR,0.0642756
PV4MPRE,0.06302999
PV3MCSS,0.060943283
PV7READ,0.06068104
PV2MCUD,0.06017361
PV8MPFS,0.057696175
PV3MCUD,0.053770676
PV6MCUD,0.052936964
PV8MCUD,0.05269408
PV1SCIE,0.052105222
PV1MCSS,0.050602123
PV3READ,0.047060695
PV8READ,0.046002284
PV9READ,0.041942075
COBN_S,0.041765165
PV7MCCR,0.04111171
PV7MCSS,0.03824262
PV4MCUD,0.037452165
PV8MCSS,0.036830653
PV7MCUD,0.036222793
PV6SCIE,0.03594247
ST250D06JA,0.033910614
PV4MCCR,0.033809565
PV5MPFS,0.031759426
PV5SCIE,0.031280555
PV4SCIE,0.031107463
PV8MPRE,0.031037422
PV1MPIN,0.030977996
PV10MPRE,0.02871334
PV5READ,0.024984064
PV7SCIE,0.024432154
OCOD3,0.023281576
PV7MPRE,0.022934983
COBN_M,0.018297194
ST251D09JA,0.008640807
COBN_F,0.0016623705
LANGN,0.0
