nome,categoria,familia,regras
CRT_SCORE,Criatividade,Criatividade,creative; crt; resili
Creative_Resilience,Criatividade,Criatividade,creative; resili
CR055Q01A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q01F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q01S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q01TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q01V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q01VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q02A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q02F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q02TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q02V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q02VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q03A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q03F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q03TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q03V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q03VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q05A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q05F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q05TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q05V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR055Q05VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q04A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q04F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q04TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q04V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q04VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q05A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q05F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q05TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q05V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q05VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q07A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q07F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q07S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q07TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q07V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR102Q07VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q01A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q01F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q01S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q01TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q01V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q01VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q02BA,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q02BF,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q02BTT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q02BV,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q02BVS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q06A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q06F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q06TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q06V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR111Q06VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q01A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q01F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q01TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q01V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q01VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q02A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q02F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q02TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q02V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR219Q02VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q01A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q01F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q01S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q01TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q01V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q01VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q02A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q02F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q02S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q02TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q02V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q02VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q04A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q04F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q04S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q04TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q04V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q04VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q05A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q05F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q05S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q05TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q05V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q05VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q06A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q06F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q06S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q06TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q06V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR220Q06VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q03A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q03F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q03S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q03TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q03V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q03VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q06A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q06F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q06S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q06TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q06V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q06VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q07A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q07F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q07S,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q07TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q07V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q07VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q10A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q10F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q10TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q10V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR404Q10VS,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR432Q01A,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR432Q01F,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR432Q01TT,Variável CR,Criatividade/Conteúdo CR,prefixo cr
CR432Q01V,Variável CR,Criatividade/Conteúdo CR,prefixo cr
